Sentence,GroundTruth,Prediction
به هانا اي بقعه يقبلو الغسيل ايام الاحد؟,YEM,UNK
جنت أحاول أتصل بيك.,IRAQ,UNK
ماشي شي نشتريه.,GULF,UNK
دخيلك في عندك في اكبر؟,LEV,UNK
برشا تعب اليوم.,,UNK
ماشين وين الليلة؟,NILE,UNK
ما أشرب فهوة أني.,IRAQ,UNK
ما اقدر اشوف الشاشة زين من هنا. أروم اغير مقعدي؟,GULF,UNK
اني  أريد أروح للسوك اليوم .,IRAQ,UNK
عايزة شبشب كويس و كعب عالي عليك الله .,NILE,UNK
أنا تعلمت كتير شغلات جديدة بالدورة التدريبية اللي حضرتها الأسبوع اللي فات.,LEV,UNK
أنا ايش سويت لك؟,GULF,UNK
وين بقدر ألائي محل ساعات؟,LEV,UNK
يا خويا ممكن تعاوني في تصليح البيسي؟ ما خدامش مزيان من الصباح و باغي نساليه ضروري.,,UNK
أنا با أريد أعزف.,YEM,UNK
 الجو اليوم زين بزاف.,,UNK
أنا اشتقت كثير لأهلي وأقاربي اللي في بلادي، با أريد أزورهم قريب وأقضي معاهم وقت طويل.,YEM,UNK
اشعر بالتعب الشديد . من فضلك استدع طبيباً .,MSA,UNK
 الجو اليوم فيه غبار شوية، الواحد لازم ينتبه ويغسل وجهه وأيدينه لما يرجع البيت.,YEM,UNK
ده غالي جداً.,NILE,UNK
اشتي اخرج من هنا.,YEM,UNK
ابغى قهوة  لو سمحت.,GULF,UNK
علاش غالي برشة البوكسار هذا؟,,UNK
أشتي توصلني للمطار بسرعة، عندي رحلة بعد ساعة.,YEM,UNK
الطلعة جانت كلش حلوة,IRAQ,UNK
إتصل على الإسعاف من فضلك.,MSA,UNK
هل هذا هو كل شيء متضمن في الفاتورة ؟,MSA,UNK
فقط إذا كانت ملكك ، سيدي . هاها ، مزحة صغيرة .,MSA,UNK
اني اريد أشارك بالمسابقة.,IRAQ,UNK
لك حل عني  يزم.,LEV,UNK
"لكن التكلفة تزداد , أليس كذلك ؟",MSA,UNK
الإنجاز مالته طموحي بالحياة.,IRAQ,UNK
صاحبي مريض برشا. تنجم تكلم طبيب، يعيشك؟,,UNK
يا أختي، ممكن تعاونيني نرتبو الحوايج.,,UNK
هل يمكنني أن أكل كل حبة الفاكهة هذه ؟,MSA,UNK
ايوه، كل اللي انت عاوزو شامبو و سيشوار .,NILE,UNK
رجاءا اكتب عنوانك هوني.,IRAQ,UNK
تركت شنطتي بشي مطرح.,LEV,UNK
الشي الجنت ادور عليه.,IRAQ,UNK
كيفاش راك؟,,UNK
نحبك بزاف,,UNK
 اكدر اكل وجبتي بعدين؟ احس نفسي متخربط هسه.,IRAQ,UNK
عندك بيزات؟,GULF,UNK
وين الأصانصير؟,LEV,UNK
بطني واجعاني شديد.,NILE,UNK
