Sentence,GroundTruth,Prediction
كيف حالك اليوم؟ إن شاء الله أنك دحّان وما فيك شي.,YEM,MSA
اكو اي ليموزين؟,IRAQ,MSA
أنا باغي نمشي المول.,,MSA
ممكن ناخد  لينا أوضة على البحر؟,NILE,MSA
راني حاب حقيبة ماكياج.,,MSA
ماعنديش موعد، بلحاق الحالة مستعجلة.,,NILE
عمي، با أفكر أتزوج بنتكم.,YEM,IRAQ
تروم تساعد رفيقج؟,GULF,LEV
ممكن تحولي اياهم لدولارات، لو سمحت؟,LEV,MSA
اشتي العب تنس.,YEM,NA
داير أرسله بالبريد البري.,NILE,MSA
في واحد خبط فيا. وبعديها ملقتش محفظتي.,NILE,NILE
البرفان دة بكام؟,NILE,NA
رح أوصل حوالي الساعة تسعة المسا.,LEV,GULF
هل اكو اي جوله صباحيي؟,IRAQ,MSA
بس عشان هديه تذكارية . انت عارف، ماعندناش النوع ده من التاكسيات في اليابان .,NILE,MSA
أنا عيان شوية اليوم، حسيت ما نعستش مزيان البارح.,,NA
يصير ادفع بجيكات سياحية؟,GULF,MSA
بأثر شي اذا دقيتلك بعدين؟,LEV,MSA
ممكن تساعديني في ترتيب الأغراض في الدولاب؟ أنا ما عندي وقت اليوم وبا أريد أخلص الشغل بسرعة.,YEM,NA
أنا كنبغي نسمع موسيقى هادية قبل ما نعس باش نرتاح.,,NA
اطيق احجز اجر-سيارة هوني؟,IRAQ,MSA
عندكم شي ناكله؟ زين باخرج أفحط لي حاجة من الدكان.,YEM,NA
مو معقول لهلأ طلبي ما وصل .,LEV,MSA
 وين با نروح اليوم؟,YEM,LEV
اي بعض الغرف تطل على الحديقة بس وايد غالية.,GULF,LEV
كم من الوقت يبغاله من هنا لين سيتي هول ؟,GULF,LEV
عادي تجوف موتري؟,GULF,LEV
هل يمكنك أن تقوم بضبطها الآن ؟,MSA,MSA
به هانا اي بقعه يقبلو الغسيل ايام الاحد؟,YEM,LEV
جنت أحاول أتصل بيك.,IRAQ,MSA
ماشي شي نشتريه.,GULF,LEV
دخيلك في عندك في اكبر؟,LEV,LEV
برشا تعب اليوم.,,LEV
ماشين وين الليلة؟,NILE,MSA
ما أشرب فهوة أني.,IRAQ,MSA
ما اقدر اشوف الشاشة زين من هنا. أروم اغير مقعدي؟,GULF,MSA
اني  أريد أروح للسوك اليوم .,IRAQ,NILE
عايزة شبشب كويس و كعب عالي عليك الله .,NILE,NILE
أنا تعلمت كتير شغلات جديدة بالدورة التدريبية اللي حضرتها الأسبوع اللي فات.,LEV,NILE
أنا ايش سويت لك؟,GULF,MSA
وين بقدر ألائي محل ساعات؟,LEV,NILE
يا خويا ممكن تعاوني في تصليح البيسي؟ ما خدامش مزيان من الصباح و باغي نساليه ضروري.,,NILE
أنا با أريد أعزف.,YEM,MSA
 الجو اليوم زين بزاف.,,NILE
أنا اشتقت كثير لأهلي وأقاربي اللي في بلادي، با أريد أزورهم قريب وأقضي معاهم وقت طويل.,YEM,NILE
اشعر بالتعب الشديد . من فضلك استدع طبيباً .,MSA,NILE
 الجو اليوم فيه غبار شوية، الواحد لازم ينتبه ويغسل وجهه وأيدينه لما يرجع البيت.,YEM,NILE
ده غالي جداً.,NILE,Mixed or Ambiguous
اشتي اخرج من هنا.,YEM,NILE
ابغى قهوة  لو سمحت.,GULF,Mixed or Ambiguous
علاش غالي برشة البوكسار هذا؟,,Mixed or Ambiguous
أشتي توصلني للمطار بسرعة، عندي رحلة بعد ساعة.,YEM,Mixed or Ambiguous
الطلعة جانت كلش حلوة,IRAQ,NILE
إتصل على الإسعاف من فضلك.,MSA,MSA
هل هذا هو كل شيء متضمن في الفاتورة ؟,MSA,LEV
فقط إذا كانت ملكك ، سيدي . هاها ، مزحة صغيرة .,MSA,LEV
اني اريد أشارك بالمسابقة.,IRAQ,MSA
لك حل عني  يزم.,LEV,YEM
"لكن التكلفة تزداد , أليس كذلك ؟",MSA,LEV
الإنجاز مالته طموحي بالحياة.,IRAQ,MSA
صاحبي مريض برشا. تنجم تكلم طبيب، يعيشك؟,,YEM
يا أختي، ممكن تعاونيني نرتبو الحوايج.,,LEV
هل يمكنني أن أكل كل حبة الفاكهة هذه ؟,MSA,LEV
ايوه، كل اللي انت عاوزو شامبو و سيشوار .,NILE,LEV
رجاءا اكتب عنوانك هوني.,IRAQ,NILE
تركت شنطتي بشي مطرح.,LEV,NA
الشي الجنت ادور عليه.,IRAQ,NILE
كيفاش راك؟,,LEV
نحبك بزاف,,YEM
 اكدر اكل وجبتي بعدين؟ احس نفسي متخربط هسه.,IRAQ,NA
عندك بيزات؟,GULF,LEV
وين الأصانصير؟,LEV,NILE
بطني واجعاني شديد.,NILE,NILE
