Sentence,GroundTruth,Prediction
ممكن تساعديني في ترتيب الأغراض في الدولاب؟ أنا ما عندي وقت اليوم وبا أريد أخلص الشغل بسرعة.,YEM,UNK
راني حاب حقيبة ماكياج.,NOR-AFR,UNK
القات اليوم حلو، تعال نتمضغ.,NOR-AFR,UNK
تروم تساعدني؟,GULF,UNK
ما عندي وقت والله السموحة.,GULF,UNK
عاوز قهوة يسطا؟,NILE,UNK
هل يمكن أن أترك هذه العربة خارج الردهة ؟,MSA,UNK
لقد كانت المزارات في اليونان تاريخية .,MSA,UNK
بعد إزنك، من وين بروحو عأكاساكا؟,LEV,UNK
اكو مطعم  قريب يبيع دولمة؟,IRAQ,UNK
بس كنت ابغي أأكد ان رئيس مجلس الإدارة لشركتكم بيحضر الاجتماع بكرة.,GULF,UNK
أنا با أريد نجرب مطعم جديد سمعت عنه.,YEM,UNK
 البيت اللي اشتريناه جديد وحلو كلش وواسع، بيه حديقة جبيرة نكدر نقعد بيها ونستمتع بالجو الحلو بالمساء.,IRAQ,UNK
كيف بدك البيض؟,LEV,UNK
 الجو اليوم جميل جداً وما يحتاج الواحد يلبس ملابس ثقيلة، الواحد يقدر يتمشى في الكورنيش ويستمتع بالهواء النظيف.,YEM,UNK
إنت المفروض تجيب كل الحاجات من السوبر ماركت. لو ماقدرتش، متقلقش. أنا هاروح الصيدلية بكرة.,NILE,UNK
هل يمكنك أن تقوم بضبطها الآن ؟,MSA,UNK
أشتي كبسة باللحم، إذا ممكن,YEM,UNK
انت عارف، ماعندناش النوع ده من التاكسيات في اليابان .,NILE,UNK
بطني واجعاني شديد.,NILE,UNK
اطيق احجز اجر-سيارة هوني؟,IRAQ,UNK
شنو نوع الجوتي مالك؟,GULF,UNK
الجو بره حلو هواي اليوم.,IRAQ,UNK
ارحب يبو مسعد؟,GULF,UNK
"وين يا رجال , وش صار عليك؟",GULF,UNK
باخي والله وجع شديد,NILE,UNK
ازاي أرجع؟,NILE,UNK
غدا غنمشيو للبحر نتفسخو و نتبسطو,NOR-AFR,UNK
ما اقدر اشوف الشاشة من هني. أروم اغير مقعدي ؟,GULF,UNK
"أنا تعبان شوية, با أرتاح في البيت.",YEM,UNK
صاحبي مريض برشا. تنجم تكلم طبيب، يعيشك؟,NOR-AFR,UNK
بدي شوية مقانق، عمول معروف .,LEV,UNK
لك حل عني يا زلمة,LEV,UNK
أبا عطر لو ما عليك أمر.,GULF,UNK
رح أوصل حوالي الساعة تسعة المسا.,LEV,UNK
واش هاد القطار كايتوقف فبالتيمور؟,NOR-AFR,UNK
اشتي شاي عدني.,YEM,UNK
عايزه لي شبشب كويس و كعب عالي عليك الله.,NILE,UNK
يا حبيبي دزها بس.,GULF,UNK
اصعد السلم ثم اتجه يميناً . إنه على يسارك .,MSA,UNK
فقط إذا كانت ملكك ، سيدي . هاها ، مزحة صغيرة .,MSA,UNK
مستحيل الكلام ده يا فندم .,NILE,UNK
ماذا عن القمة ؟ هل انقص بعضاً من القمة ؟,MSA,UNK
فين مفتاح الطوموبيل؟,NOR-AFR,UNK
تؤبرني,LEV,UNK
"أنا أحب أطبخ, إيش تبغى أطبخ لك اليوم؟",YEM,UNK
أنا با أريد أسافر في الصيف.,YEM,UNK
شي بيبسي زيرو؟ مسوي دايت أنا,GULF,UNK
اليوم كان يوم طويل، ولكن الحمد لله خلصت كل الأعمال.,YEM,UNK
لو سمحت ألغي رقم البطاقه حقي.,YEM,UNK
اشتي قهوة.,YEM,UNK
أنا ما عنديش فلوس بزاف دابا.,NOR-AFR,UNK
هل اكو مطعم قريب هوني؟,IRAQ,UNK
لهيجا البيت كبير كتير. ,LEV,UNK
وش تبي مني ؟,GULF,UNK
هسه شنو تريد تاكل على الغده؟,IRAQ,UNK
خلينا نمشيو نزورو عائلتي اليوم العشية.,NOR-AFR,UNK
عادي تطرشلي الصورة بعدين؟,GULF,UNK
ما عندي فلوس هواي هسه.,IRAQ,UNK
ممكن تحولي اياهم لدولارات، لو سمحت؟,LEV,UNK
علاش أنت زعفان اليوم؟,NOR-AFR,UNK
اشنو الاختلاف بين هذولي الفنادق؟,IRAQ,UNK
الشي الجنت ادور عليه.,IRAQ,UNK
ما بيصير تحكي هالحكي قدام الناس.,LEV,UNK
يصير ادفع بجيكات سياحية؟,GULF,UNK
اي، بعض الغرف تطل على الحديقة، بس وايد غالية.,GULF,UNK
اريد كتاب تلوين.,IRAQ,UNK
"ما يمكنش تهضر بهاد الطريقة مع الناس, خاصك تحترمهم.",NOR-AFR,UNK
با أريد شاهي كرك من دبي.,YEM,UNK
مشكور ما قصرت. انا وسيد كوقوري مستانسين ان جينا لندن عشان نجتمع معاك وانت واحد من أهم شركائنا.,GULF,UNK
ايوه، كل اللي انت محتاجله شامبو و سيشوار .,NILE,UNK
عليك أن تحجز مقدما .,MSA,UNK
أنا مرضان.بدي أرتاح.,LEV,UNK
ماعنديش موعد، بلحاق الحالة مستعجلة.,NOR-AFR,UNK
اكيد، اخذ وقتج.,IRAQ,UNK
مسامحة بس في غلط في الفاتورة.,GULF,UNK
السوق اليوم زحمة، لازم ندحس عشان ندخل.,YEM,UNK
ناس قليلين اللي هايكونوا في الجولة الاختياري.,NILE,UNK
اكدر احصلها مشروحة اكثر بالتفاصيل؟,IRAQ,UNK
كلموه بركي يقتنع.,LEV,UNK
كيف نستخدم هذا ؟,MSA,UNK
لك شو مهضوم انته,LEV,UNK
حط الشاي هانا، جنب القات.,YEM,UNK
أبا ألعب بادل.,GULF,UNK
اكدر اكل وجبتي بعدين؟ احس نفسي متخربط هسه.,IRAQ,UNK
عادي أدقع كاش ولا عايز ببطاقة؟,NILE,UNK
أيمكنني أن أبقى ثلاث ليالٍ ؟,MSA,UNK
نعم ، بإمكانك . هون عليك .,MSA,UNK
بتقدر تبدل كرسيك معي، لو سمحت؟,LEV,UNK
عاوزين أوضة على البحر يسطا.,NILE,UNK
هاي الغرفة كولش صغيره.,IRAQ,UNK
هاد الكتاب مفيد بزاف.,NOR-AFR,UNK
هل يمكنني أن أكل كل حبة الفاكهة هذه ؟,MSA,UNK
مافشي أغراض  في البيت. لازم نسير اليمعية.,GULF,UNK
أتوبيس؟ أفتكر أنت تقصد ليموزين يوصلك الفندق. أنت رايح أنهى فندق؟,NILE,UNK
يا شيخ لا تسولف بالله.,GULF,UNK
أبا مجبوس دياي اليوم.,GULF,UNK
اكو جمعية قريبة؟,IRAQ,UNK
لا تطلع فيا هيك!,LEV,UNK
ما عندي مصاري.,LEV,UNK
اليهال منتظرينك برع.,GULF,UNK
لا تقول هالكلام جدامي.,GULF,UNK
كلا . إني ياباني .,MSA,UNK
ما أشرب قهوة أني يا الغالي.,IRAQ,UNK
هل هذا هو كل شيء متضمن في الفاتورة ؟,MSA,UNK
تركت شنطتي بشي مطرح.,LEV,UNK
طوالي عليك الله.,NILE,UNK
اشتي العب تنس.,YEM,UNK
زين. هسه حجزك تاكد.,IRAQ,UNK
في واحد خبط فيا. وبعديها ملقتش محفظتي.,NILE,UNK
بغيت شاهي مع ليمون، لو سمحت.,GULF,UNK
من فضلك غادر الفندق قبل التاسعة .,MSA,UNK
عمبتسأل  شو هيدا الي على فاتورتي .,LEV,UNK
 لازم نوفر باستهلاك الكهرباء والماي حتى نحافظ على البيئة ونكون مسؤولين تجاه الأجيال الجاية.,IRAQ,UNK
ضيعت باسبوري، نحب واحد جديد.,NOR-AFR,UNK
اشعر بالتعب الشديد . من فضلك استدع طبيباً .,MSA,UNK
نعم، سيد تانكا. اكو رسالتين الك.,IRAQ,UNK
بأثر شي اذا دقيتلك بعدين؟,LEV,UNK
ممكن ترسل تاكسي للمدخل الرئيسي حق ويستمينستر مول؟,YEM,UNK
شكرا يبن عمي عل الخدمة.,YEM,UNK
عمر هاد الورقة عافاك. فين خاصنا نديوه منين نردوه؟,NOR-AFR,UNK
مو معئول لهلأ طلبي ما وصل .,LEV,UNK
عايز الهدوم دي تتكوى.,NILE,UNK
اليوم عندنا تخزينة قوية مع الشباب.,YEM,UNK
كم من الوقت يبغاله من هنا إلى سيتي هول؟,GULF,UNK
ما شعورك ؟ لقد صنعت في سويسرا وهي موضة هنا .,MSA,UNK
يا رجال، شمسك حاميا؟,YEM,UNK
عندج بيزات؟,GULF,UNK
السيارة دقمت الجدار.,YEM,UNK
تروم تصلحه؟,GULF,UNK
أه، أنا عاوز أشوف المعالم السياحية للمدينة.,NILE,UNK
ده غالي شديد ياخ.,NILE,UNK
اكو اي ليموزين؟,IRAQ,UNK
ابغى قهوة لو سمحت.,GULF,UNK
 إنها كذلك بالفعل.,MSA,UNK
انت جعان يصحبي؟,NILE,UNK
لا أريد شيئاً آخر .,MSA,UNK
أنا متأسف أما لوتيل معبي.,NOR-AFR,UNK
"من زمان عنك, وين جنت؟",IRAQ,UNK
إتجه إلى الامام,MSA,UNK
ما يمكنش تقول هاد الهضرة قدام الناس.,NOR-AFR,UNK
علي أن أقول وداعاً .,MSA,UNK
أنا كنت كانفكر نمشي نلعب كورة.,NOR-AFR,UNK
دير بالك، السقف قصير.,LEV,UNK
موتري تعطل، تعال خده لو ما عليك امر.,GULF,UNK
علاش غالي برشة البوكسار هذا؟,NOR-AFR,UNK
لنذهب مرة أخرى .,MSA,UNK
أبا كوفي طال عمرك .,GULF,UNK
داير امشي الدكان.,NILE,UNK
هرب بسرعة لما شاف الحنشان.,YEM,UNK
جا عبالي شيش برك.,LEV,UNK
انا مستني حضرتك من ساعات في المكتب.,NILE,UNK
برشا تعبان اليوم.,NOR-AFR,UNK
"لكن التكلفة تزداد , أليس كذلك ؟",MSA,UNK
حالة الجو متقلبة . من فضلكم اربطوا أحزمة مقاعدكم .,MSA,UNK
مخيرا. الله يحفداك.,NOR-AFR,UNK
دخل معهم بالعقل، مش بالصميل.,YEM,UNK
هل يمكن أن تعطيني الشوكة من فضلك .,MSA,UNK
ما هو الأفضل ؟,MSA,UNK
عقّ علينا يا رجال، تأخرنا.,YEM,UNK
هذا الولد طاهش، ما يسمع كلام أحد.,YEM,UNK
اني حتي مشي ما امشي,IRAQ,UNK
داير أرسله بالبريد البري.,NILE,UNK
رجاءا اكتب عنوانك هوني.,IRAQ,UNK
علاش ما ساليتيش واجباتك المدرسية لحد الآن؟,NOR-AFR,UNK
اصك تساليهم قبل ما نخرجوا باش ما تعطلش على اللعب مع صحابك.,NOR-AFR,UNK
رجاءا ارسلي شخص للاعلى علمود جنطيي ساعه ستي ونص.,IRAQ,UNK
الواحد يقدر يتمشى في الكورنيش ويستمتع بالهوا النقي.,NOR-AFR,UNK
هالإيام عم ينتشر كتير حالات رشح.,LEV,UNK
